# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: CN
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2033-05-03,劳动节（补假）
2033-06-01,端午节
2033-09-08,中秋节
2033-10-01,国庆节
2033-10-02,国庆节
2033-10-03,国庆节
2033-10-04,国庆节（补假）
2033-10-05,国庆节（补假）
2034-01-01,元旦
2034-01-02,元旦（补假）
2034-02-18,农历除夕
2034-02-19,春节
2034-02-20,春节
2034-02-21,春节
2034-02-22,农历除夕（补假）
2034-02-23,春节（补假）
2034-04-05,清明节
2034-05-01,劳动节
2034-05-02,劳动节
2034-06-20,端午节
2034-09-27,中秋节
2034-10-01,国庆节
2034-10-02,国庆节
2034-10-03,国庆节
2034-10-04,国庆节（补假）
2035-01-01,元旦
2035-02-07,农历除夕
2035-02-08,春节
2035-02-09,春节
2035-02-10,春节
2035-02-12,春节（补假）
2035-04-05,清明节
2035-05-01,劳动节
2035-05-02,劳动节
2035-06-10,端午节
2035-06-11,端午节（补假）
2035-09-16,中秋节
2035-09-17,中秋节（补假）
2035-10-01,国庆节
2035-10-02,国庆节
2035-10-03,国庆节
2036-01-01,元旦
2036-01-27,农历除夕
2036-01-28,春节
2036-01-29,春节
2036-01-30,春节
2036-01-31,农历除夕（补假）
2036-04-04,清明节
2036-05-01,劳动节
2036-05-02,劳动节
2036-05-30,端午节
2036-10-01,国庆节
2036-10-02,国庆节
2036-10-03,国庆节
2036-10-04,中秋节
2036-10-06,中秋节（补假）
2037-01-01,元旦
2037-02-14,农历除夕
2037-02-15,春节
2037-02-16,春节
2037-02-17,春节
2037-02-18,农历除夕（补假）
2037-02-19,春节（补假）
2037-04-04,清明节
2037-04-06,清明节（补假）
2037-05-01,劳动节
2037-05-02,劳动节
2037-05-04,劳动节（补假）
2037-06-18,端午节
2037-09-24,中秋节
2037-10-01,国庆节
2037-10-02,国庆节
2037-10-03,国庆节
2037-10-05,国庆节（补假）
2038-01-01,元旦
2038-02-03,农历除夕
2038-02-04,春节
2038-02-05,春节
2038-02-06,春节
2038-02-08,春节（补假）
2038-04-05,清明节
2038-05-01,劳动节
2038-05-02,劳动节
2038-05-03,劳动节（补假）
2038-05-04,劳动节（补假）
2038-06-07,端午节
2038-09-13,中秋节
2038-10-01,国庆节
2038-10-02,国庆节
2038-10-03,国庆节
2038-10-04,国庆节（补假）
2038-10-05,国庆节（补假）
2039-01-01,元旦
2039-01-03,元旦（补假）
2039-01-23,农历除夕
2039-01-24,春节
2039-01-25,春节
2039-01-26,春节
2039-01-27,农历除夕（补假）
2039-04-05,清明节
2039-05-01,劳动节
2039-05-02,劳动节
2039-05-03,劳动节（补假）
2039-05-27,端午节
2039-10-01,国庆节
2039-10-02,中秋节; 国庆节
2039-10-03,国庆节
2039-10-04,国庆节（补假）
2039-10-05,中秋节（补假）
2039-10-06,国庆节（补假）
2040-01-01,元旦
2040-01-02,元旦（补假）
2040-02-11,农历除夕
2040-02-12,春节
2040-02-13,春节
2040-02-14,春节
2040-02-15,农历除夕（补假）
2040-02-16,春节（补假）
2040-04-04,清明节
2040-05-01,劳动节
2040-05-02,劳动节
2040-06-14,端午节
2040-09-20,中秋节
2040-10-01,国庆节
2040-10-02,国庆节
2040-10-03,国庆节
2041-01-01,元旦
2041-01-31,农历除夕
2041-02-01,春节
2041-02-02,春节
2041-02-03,春节
2041-02-04,春节（补假）
2041-02-05,春节（补假）
2041-04-04,清明节
2041-05-01,劳动节
2041-05-02,劳动节
2041-06-03,端午节
2041-09-10,中秋节
2041-10-01,国庆节
2041-10-02,国庆节
2041-10-03,国庆节
2042-01-01,元旦
2042-01-21,农历除夕
2042-01-22,春节
2042-01-23,春节
2042-01-24,春节
2042-04-04,清明节
2042-05-01,劳动节
2042-05-02,劳动节
2042-06-22,端午节
2042-06-23,端午节（补假）
2042-09-28,中秋节
2042-09-29,中秋节（补假）
2042-10-01,国庆节
2042-10-02,国庆节
2042-10-03,国庆节
2043-01-01,元旦
2043-02-09,农历除夕
2043-02-10,春节
2043-02-11,春节
2043-02-12,春节
2043-04-05,清明节
2043-04-06,清明节（补假）
2043-05-01,劳动节
2043-05-02,劳动节
2043-05-04,劳动节（补假）
2043-06-11,端午节
2043-09-17,中秋节
2043-10-01,国庆节
2043-10-02,国庆节
2043-10-03,国庆节
2043-10-05,国庆节（补假）
2044-01-01,元旦
2044-01-29,农历除夕
2044-01-30,春节
2044-01-31,春节
2044-02-01,春节
2044-02-02,春节（补假）
2044-02-03,春节（补假）
2044-04-04,清明节
2044-05-01,劳动节
2044-05-02,劳动节
2044-05-03,劳动节（补假）
2044-05-31,端午节
2044-10-01,国庆节
2044-10-02,国庆节
2044-10-03,国庆节
2044-10-04,国庆节（补假）
2044-10-05,中秋节
2044-10-06,国庆节（补假）
2045-01-01,元旦
2045-01-02,元旦（补假）
2045-02-16,农历除夕
2045-02-17,春节
2045-02-18,春节
2045-02-19,春节
2045-02-20,春节（补假）
2045-02-21,春节（补假）
2045-04-04,清明节
2045-05-01,劳动节
2045-05-02,劳动节
2045-06-19,端午节
2045-09-25,中秋节
2045-10-01,国庆节
2045-10-02,国庆节
2045-10-03,国庆节
2045-10-04,国庆节（补假）
2046-01-01,元旦
2046-02-05,农历除夕
2046-02-06,春节
2046-02-07,春节
2046-02-08,春节
2046-04-04,清明节
2046-05-01,劳动节
2046-05-02,劳动节
2046-06-08,端午节
2046-09-15,中秋节
2046-09-17,中秋节（补假）
2046-10-01,国庆节
2046-10-02,国庆节
2046-10-03,国庆节
2047-01-01,元旦
2047-01-25,农历除夕
2047-01-26,春节
2047-01-27,春节
2047-01-28,春节
2047-01-29,春节（补假）
2047-01-30,春节（补假）
2047-04-05,清明节
2047-05-01,劳动节
2047-05-02,劳动节
2047-05-29,端午节
2047-10-01,国庆节
2047-10-02,国庆节
2047-10-03,国庆节
2047-10-04,中秋节
2048-01-01,元旦
2048-02-13,农历除夕
2048-02-14,春节
2048-02-15,春节
2048-02-16,春节
2048-02-17,春节（补假）
2048-02-18,春节（补假）
2048-04-04,清明节
2048-04-06,清明节（补假）
2048-05-01,劳动节
2048-05-02,劳动节
2048-05-04,劳动节（补假）
2048-06-15,端午节
2048-09-22,中秋节
2048-10-01,国庆节
2048-10-02,国庆节
2048-10-03,国庆节
2048-10-05,国庆节（补假）
2049-01-01,元旦
2049-02-01,农历除夕
2049-02-02,春节
2049-02-03,春节
2049-02-04,春节
2049-04-04,清明节
2049-04-05,清明节（补假）
2049-05-01,劳动节
2049-05-02,劳动节
2049-05-03,劳动节（补假）
2049-05-04,劳动节（补假）
2049-06-04,端午节
2049-09-11,中秋节
2049-09-13,中秋节（补假）
2049-10-01,国庆节
2049-10-02,国庆节
2049-10-03,国庆节
2049-10-04,国庆节（补假）
2049-10-05,国庆节（补假）
2050-01-01,元旦
2050-01-03,元旦（补假）
2050-01-22,农历除夕
